word,meaning,tone,example,generation
say less,I understand; no need to say more.,neutral,You need help moving Saturday? Say less I'll be there.,Gen-Z
hitting,Something is very good or effective.,positive,That workout routine is hitting differently.,Gen-Z
lowkey snack,Someone who is attractive in a subtle understated way.,positive,She's a lowkey snack tbh.,Gen-Z
cancel,To publicly call out and boycott someone for problematic behavior.,negative,He got cancelled after those old tweets resurfaced.,Gen-Z
on god,I swear to god; an expression of truthfulness.,neutral,On god that was the scariest movie I've seen.,Gen-Z
woke,Socially aware and conscious of injustice.,neutral,He's very woke about environmental issues.,Millennial
oof,An expression of sympathy discomfort or secondhand embarrassment.,negative,Oof that's rough buddy.,Millennial
yeet,To throw something with force or an exclamation of excitement.,positive,He just yeeted his phone across the room.,Gen-Z
hyped,Very excited or enthusiastic.,positive,I'm so hyped for this concert tonight.,Millennial
vibe check,Assessing the overall mood or atmosphere of a situation.,neutral,This party needs a vibe check something feels off.,Gen-Z
glow up,A positive transformation in appearance or overall quality of life.,positive,She had a major glow up over the summer.,Gen-Z
flex,To show off possessions or achievements.,sarcastic,That's a weird flex but okay.,Gen-Z
big yikes,A stronger version of yikes expressing extra cringe or embarrassment.,negative,You texted your ex at 2am? Big yikes.,Gen-Z
tea,Gossip or truth; to spill the tea means to share information.,neutral,Spill the tea what happened last night?,Gen-Z
shook,Surprised shocked or deeply unsettled.,negative,I'm absolutely shook by that plot twist.,Millennial
pressed,Upset worried or bothered by something.,negative,Why are you so pressed about what they said?,Gen-Z
drip,Stylish clothing or accessories; a cool fashion sense.,positive,His drip is unmatched today.,Gen-Z
goated,Someone or something considered the greatest of all time.,positive,That player is absolutely goated.,Gen-Alpha
ratio,On social media when a reply gets more engagement than the original post.,sarcastic,That opinion got ratioed instantly.,Gen-Z
understood,Used to acknowledge information quickly without further comment.,neutral,You need the files by Friday? Understood.,Gen-Z
rent free in my head,When a thought or person won't stop occupying your mind.,sarcastic,That conversation is living rent free in my head.,Gen-Z
ate and left no crumbs,Performed so perfectly that nothing was left to criticize.,positive,She ate and left no crumbs in that performance.,Gen-Z
unalived,A euphemism for killing often used to avoid content moderation filters.,negative,The villain threatened to unalive the hero.,Gen-Z
cooked,To be in serious trouble or have completely failed.,negative,We forgot the presentation at home. We're cooked.,Gen-Z
it's giving,Used to describe the vibe or energy something gives off.,neutral,That outfit? It's giving summer royalty.,Gen-Z
yap,To talk excessively or at length often about unimportant things.,negative,He was yapping for an hour and said nothing useful.,Gen-Alpha
in my era,Going through a particular phase or period in life.,neutral,I'm in my healing era right now.,Gen-Z
mother,The highest compliment for someone who is iconic and influential.,positive,Lady Gaga is mother and we will not debate this.,Gen-Z
no ick,Something that has no off-putting or unattractive qualities.,positive,He's funny kind and smart — genuinely no ick.,Gen-Z
the ick,A sudden feeling of disgust or repulsion toward someone you liked.,negative,He chewed loudly and it gave me the ick immediately.,Gen-Z
roman empire,Something you think about surprisingly often without realizing it.,sarcastic,The 2008 financial crisis is my Roman Empire tbh.,Gen-Z
situationship,A romantic relationship that is undefined and somewhere between friends and dating.,negative,We're not dating but we're not just friends — classic situationship.,Gen-Z
villainera,Embracing a more selfish or ruthless phase of life unapologetically.,sarcastic,I'm in my villain era and I'm not apologizing to anyone.,Gen-Z
slay the house down boots,An extreme compliment meaning someone absolutely nailed everything.,positive,She walked into that interview and slayed the house down boots.,Gen-Z
mother of all,The ultimate or most extreme version of something.,positive,That was the mother of all plot twists.,Millennial
W,Short for win; used to praise someone's decision or achievement.,positive,Taking the day off was a massive W.,Gen-Z
L,Short for loss; used when someone makes a bad decision or fails.,negative,Forgetting the tickets was such an L.,Gen-Z
ngl,Abbreviation for 'not gonna lie'; used before an honest statement.,neutral,Ngl that movie slapped harder than I expected.,Gen-Z
imo,Abbreviation for 'in my opinion'.,neutral,Imo the second album was better than the first.,Millennial
tbh,To be honest; used before a candid statement.,neutral,Tbh I didn't even like that show.,Millennial
iykyk,If you know you know; referencing shared knowledge with a community.,neutral,That feeling at 3am iykyk.,Gen-Z
fwiw,For what it's worth; introducing an opinion that may not matter.,neutral,Fwiw I thought your presentation was great.,Millennial
afaik,As far as I know; indicating uncertain information.,neutral,Afaik they haven't made a final decision yet.,Millennial
smh,Shaking my head; expressing disappointment or disbelief.,negative,He forgot her birthday again smh.,Millennial
lmao,Laughing my ass off; indicating something is very funny.,positive,That video had me lmao for five minutes straight.,Millennial
sus behavior,Acting suspicious or shady in a noticeable way.,negative,He's been showing a lot of sus behavior lately.,Gen-Z
core memory,An especially vivid and meaningful memory that defines who you are.,positive,That road trip became an instant core memory.,Gen-Z
understood the vibe,Naturally adapted to and matched the energy of the situation.,positive,She walked in and immediately understood the vibe.,Gen-Z
snatched to the gods,Absolutely flawlessly styled; perfection in appearance.,positive,Her look was snatched to the gods for that red carpet.,Gen-Z
and I oop,An expression of surprise shock or embarrassment at an unexpected moment.,sarcastic,He walked in while I was talking about him — and I oop.,Gen-Z
slaps,Something that is extremely good especially music.,positive,That new track slaps so hard on repeat.,Gen-Z
bop,A song that is extremely enjoyable and catchy.,positive,This song is such a bop I can't stop replaying it.,Gen-Z
send tweet,A declaration that a statement is so accurate it could be posted online as truth.,positive,Tacos are always the right answer. Send tweet.,Millennial
it me,A relatable statement indicating you see yourself in a situation.,neutral,Me forgetting to eat lunch: it me.,Millennial
adulting,Performing adult responsibilities like paying bills or cooking.,sarcastic,I did laundry and paid a bill today. Adulting achieved.,Millennial
FOMO,Fear of missing out; anxiety about not attending an event.,negative,I got serious FOMO seeing everyone's festival photos.,Millennial
JOMO,Joy of missing out; happiness about staying in instead of going out.,positive,Cancelled plans to stay home with a book. Pure JOMO.,Millennial
finsta,A secondary secret Instagram account used for close friends and unfiltered content.,neutral,I only post the real stuff on my finsta.,Gen-Z
thirst trap,A photo posted on social media specifically to attract attention and compliments.,positive,That beach photo was a clear thirst trap and it worked.,Gen-Z
salty tears,Crying out of jealousy or bitterness.,sarcastic,Their salty tears after losing were priceless.,Gen-Z
catch feelings,To develop romantic feelings unexpectedly.,neutral,I told myself not to catch feelings but here we are.,Gen-Z
lowkey hit,Something secretly very good that you enjoy without admitting it.,positive,That pop song is a lowkey hit I can't deny it.,Gen-Z
say sike right now,A request for someone to take back a shocking or upsetting statement.,negative,You're cancelling on me? Say sike right now.,Gen-Z
periodt with a T,An even stronger version of 'period' used for finality and emphasis.,positive,She is the best artist of this generation periodt with a T.,Gen-Z
understood the drip,Fully appreciating someone's excellent and stylish fashion sense.,positive,He understood the drip from head to toe today.,Gen-Z
understood the frequency,Being completely in sync with someone's energy or wavelength.,positive,We didn't even have to speak — she understood the frequency.,Gen-Z
lovebombing,Making someone feel intensely attached very quickly without being genuinely sincere.,negative,vaish was lovebombed by jaat.,Gen-Z
